-------------------------------
| Mnemonic | Opcode | Operand |
-------------------------------
| ldc      | 0      | value   |
| adc      | 1      | value   |
| ldl      | 2      | offset  |
| stl      | 3      | offset  |
| ldnl     | 4      | offset  |
| stnl     | 5      | offset  |
| add      | 6      |         |
| sub      | 7      |         |
| shl      | 8      |         |
| shr      | 9      |         |
| adj      | 10     | value   |
| a2sp     | 11     |         |
| sp2a     | 12     |         |
| call     | 13     | offset  |
| return   | 14     |         |
| brz      | 15     | offset  |
| brlz     | 16     | offset  |
| br       | 17     | offset  |
| HALT     | 18     |         |
-------------------------------
PC=00000000, SP=007FFFFF, A=00000000, B=00000000
PC=00000001, SP=007FFFFF, A=00001000, B=00000000
PC=00000002, SP=00001000, A=00000000, B=00000000
PC=00000003, SP=00000FFF, A=00000000, B=00000000
PC=00000004, SP=00000FFF, A=0000000A, B=00000000
PC=00000005, SP=00000FFF, A=00000000, B=00000000
PC=00000006, SP=00000FFF, A=00000041, B=00000000
PC=00000008, SP=00000FFF, A=00000007, B=00000041
PC=00000009, SP=00000FFE, A=00000007, B=00000041
PC=0000000A, SP=00000FFE, A=00000041, B=00000041
PC=0000000B, SP=00000FFE, A=00000041, B=00000041
PC=0000000C, SP=00000FFB, A=00000041, B=00000041
PC=0000000D, SP=00000FFB, A=00000000, B=00000041
PC=0000000E, SP=00000FFB, A=00000041, B=00000041
PC=0000000F, SP=00000FFB, A=00000001, B=00000041
PC=00000010, SP=00000FFB, A=00000041, B=00000041
PC=00000011, SP=00000FFB, A=00000000, B=00000041
PC=00000012, SP=00000FFB, A=00000041, B=00000041
PC=00000013, SP=00000FFB, A=0000000A, B=00000041
PC=00000014, SP=00000FFB, A=00000000, B=0000000A
PC=00000015, SP=00000FFB, A=0000000A, B=0000000A
PC=00000016, SP=00000FFB, A=00000001, B=0000000A
PC=00000017, SP=00000FFB, A=00000009, B=0000000A
PC=00000018, SP=00000FFB, A=00000009, B=0000000A
PC=00000019, SP=00000FFB, A=00000001, B=00000009
PC=0000001A, SP=00000FFB, A=00000009, B=00000009
PC=0000001B, SP=00000FFB, A=0000000A, B=00000009
PC=0000001C, SP=00000FFB, A=00000000, B=0000000A
PC=0000001D, SP=00000FFB, A=0000000A, B=0000000A
PC=0000001E, SP=00000FFB, A=00000001, B=0000000A
PC=0000001F, SP=00000FFB, A=00000009, B=0000000A
PC=00000020, SP=00000FFB, A=00000009, B=0000000A
PC=00000021, SP=00000FFB, A=00000041, B=00000009
PC=00000022, SP=00000FFB, A=00000002, B=00000009
