PC=00000000, SP=007FFFFF, A=00000000, B=00000000
PC=00000001, SP=007FFFFF, A=00001000, B=00000000
PC=00000002, SP=00001000, A=00000000, B=00000000
PC=00000003, SP=00000FFF, A=00000000, B=00000000
PC=00000004, SP=00000FFF, A=0000004B, B=00000000
PC=00000005, SP=00000FFF, A=00000000, B=00000000
PC=00000006, SP=00000FFF, A=0000004A, B=00000000
PC=00000007, SP=00000FFF, A=0000000A, B=00000000
PC=0000000A, SP=00000FFF, A=00000008, B=0000000A
PC=0000000B, SP=00000FFC, A=00000008, B=0000000A
PC=0000000C, SP=00000FFC, A=0000000A, B=0000000A
PC=0000000D, SP=00000FFC, A=0000000A, B=0000000A
PC=0000000E, SP=00000FFC, A=00000000, B=0000000A
PC=0000000F, SP=00000FFC, A=0000000A, B=0000000A
PC=00000010, SP=00000FFB, A=0000000A, B=0000000A
PC=00000011, SP=00000FFB, A=0000000A, B=0000000A
PC=00000012, SP=00000FFB, A=0000000A, B=0000000A
PC=00000013, SP=00000FFB, A=00000000, B=0000000A
PC=00000024, SP=00000FFB, A=00000014, B=00000000
PC=00000025, SP=00000FF8, A=00000014, B=00000000
PC=00000026, SP=00000FF8, A=00000000, B=00000000
PC=00000027, SP=00000FF8, A=00000000, B=00000000
PC=00000028, SP=00000FF8, A=00000001, B=00000000
PC=00000029, SP=00000FF8, A=00000000, B=00000000
PC=0000002A, SP=00000FF8, A=0000000A, B=00000000
PC=0000002B, SP=00000FF8, A=FFFFFFF6, B=00000000
PC=00000030, SP=00000FF8, A=FFFFFFF6, B=00000000
PC=00000031, SP=00000FF8, A=00000000, B=FFFFFFF6
PC=00000046, SP=00000FF8, A=00000000, B=FFFFFFF6
PC=00000047, SP=00000FF8, A=00000001, B=00000000
PC=00000048, SP=00000FF8, A=00000014, B=00000001
PC=00000049, SP=00000FFB, A=00000014, B=00000001
PC=00000014, SP=00000FFB, A=00000001, B=00000001
PC=00000015, SP=00000FFC, A=00000001, B=00000001
PC=00000016, SP=00000FFC, A=0000004B, B=00000001
PC=00000017, SP=00000FFC, A=0000004B, B=00000001
PC=00000018, SP=00000FFC, A=0000004B, B=0000004B
PC=00000019, SP=00000FFC, A=0000004C, B=0000004B
PC=0000001A, SP=00000FFC, A=0000004B, B=0000004B
PC=0000001B, SP=00000FFC, A=00000000, B=0000004B
PC=0000001C, SP=00000FFC, A=00000001, B=0000004B
PC=0000001D, SP=00000FFC, A=0000004B, B=0000004B
PC=0000001E, SP=00000FFC, A=00000001, B=0000004B
