Memory Dump before exectution

00000000	00000000	00000000	00000000	00000000	
00000004	00000000	00000000	00000000	00000000	
00000008	00000000	00000000	00000000	00000000	
0000000C	00000000	00000000	00000000	00000000	
00000010	00000000	00000000	00000000	00000000	
00000014	00000000	00000000	00000000	00000000	
00000018	00000000	00000000	00000000	00000000	
0000001C	00000000	00000000	00000000	00000000	
00000020	00000000	00000000	00000000	00000000	
00000024	00000000	00000000	00000000	00000000	
00000028	00000000	00000000	00000000	00000000	
0000002C	00000000	00000000	00000000	00000000	
00000030	00000000	00000000	00000000	00000000	
00000034	00000000	00000000	00000000	00000000	
00000038	00000000	00000000	00000000	00000000	
0000003C	00000000	00000000	00000000	00000000	
00000040	00000000	00000000	00000000	00000000	
00000044	00000000	00000000	00000000	00000000	
00000048	00000000	00000000	00000000	00000000	
Memory Dump after execution

00000000	00100000	0000000B	FFFFFF0A	00004B00	
00000004	00000003	00004A00	00000004	0000020D	
00000008	0000010A	00000012	FFFFFD0A	00000103	
0000000C	00000203	00000000	00000003	FFFFFF0A	
00000010	00000302	00000003	00000102	0000100D	
00000014	0000010A	00000302	00000005	00000302	
00000018	00000101	00000303	00000002	00000101	
0000001C	00000003	00000002	00000202	00000007	
00000020	FFFFEE10	00000102	0000030A	0000000E	
00000024	FFFFFD0A	00000103	00000203	00000100	
00000028	00000008	00000302	00000007	00000410	
0000002C	00000302	00000202	00000007	00000203	
00000030	00000202	0000140F	00000302	FFFFFF01	
00000034	00000003	FFFFFF0A	00000102	00000003	
00000038	00000302	FFFFFF01	FFFFE90D	00000102	
0000003C	00000003	00000103	00000302	FFFFE40D	
00000040	0000010A	00000002	00000006	00000102	
00000044	0000030A	0000000E	00000100	00000102	
00000048	0000030A	0000000E	0000000A	00000001	
